Time,RPM,PWM
13917.00,627.92,200
13927.00,628.19,200
13937.00,627.04,200
13947.00,627.86,200
13957.00,627.56,200
13967.00,630.05,200
13977.00,629.34,200
13987.00,627.97,200
13997.00,628.43,200
14007.00,630.96,200
14017.00,631.65,200
14027.00,629.26,200
14038.00,629.09,200
14048.00,632.27,200
14058.00,631.54,200
14068.00,630.75,200
14078.00,632.45,200
14088.00,634.03,200
14098.00,634.15,200
14108.00,634.63,200
14118.00,634.44,200
14128.00,635.26,200
14138.00,637.90,200
14148.00,637.69,200
14158.00,637.51,200
14168.00,638.94,200
14178.00,638.92,200
14188.00,642.25,200
14198.00,642.20,200
14208.00,639.23,200
14218.00,641.49,200
14228.00,642.37,200
14238.00,639.19,200
14248.00,639.12,200
14258.00,639.85,200
14268.00,639.67,200
14278.00,639.71,200
14288.00,639.15,200
14298.00,639.88,200
14308.00,641.66,200
14318.00,642.71,200
14328.00,642.77,200
14338.00,640.46,200
14348.00,642.12,200
14358.00,643.67,200
14368.00,641.79,200
14379.00,641.05,200
14389.00,643.19,200
14399.00,644.34,200
14409.00,644.49,200
14419.00,644.81,200
14429.00,645.27,200
14439.00,649.80,200
14449.00,650.51,200
14459.00,648.92,200
14469.00,648.22,200
14479.00,648.63,200
14489.00,651.13,200
14499.00,649.04,200
14509.00,648.52,200
14519.00,650.44,200
14529.00,651.81,200
14539.00,649.98,200
14550.00,650.07,200
14560.00,648.56,200
14570.00,649.30,200
14580.00,650.49,200
14590.00,648.91,200
14600.00,650.17,200
14610.00,651.79,200
14620.00,650.55,200
14630.00,647.78,200
